"Country","Year","Month","Glm.simple","Lmer","Insurgency","SAE"
"INDIA",2010,10,0.191656367445311,0.188262921948909,1,0.917472876486467
"INDIA",2010,11,0.191656367445311,0.185895886949869,1,0.339610705186362
"INDIA",2010,12,0.191656367445311,0.184910116663067,1,0.525772884214324
"INDIA",2010,2,0.191656367445311,0.262618290119852,1,0.140216086055502
"INDIA",2010,3,0.191656367445311,0.24975332722847,1,0.791081837870361
"INDIA",2010,4,0.191656367445311,0.241911935347283,1,0.637535771285557
"INDIA",2010,5,0.191656367445311,0.227212097828195,1,0.714520755323517
"INDIA",2010,6,0.191656367445311,0.269120706536648,1,0.268583045062051
"INDIA",2010,7,0.191656367445311,0.243340954439263,1,0.453609368039998
"INDIA",2010,8,0.191656367445311,0.252904471794933,1,0.73261011019094
"INDIA",2010,9,0.191656367445311,0.190575577061798,1,0.103163617085037
"INDONESIA",2009,1,0.117647412666151,0.159674429572593,0,0.582759073477165
"INDONESIA",2009,10,0.117647412666151,0.155130343544243,1,0.563579806236835
"INDONESIA",2009,11,0.117647412666151,0.158373295135778,1,0.582759073477165
"INDONESIA",2009,12,0.117647412666151,0.154620669142975,0,0.582759073477165
"INDONESIA",2009,2,0.117647412666151,0.161773930407735,0,0.582759073477165
"INDONESIA",2009,3,0.117647412666151,0.165527394185802,0,0.582759073477165
"INDONESIA",2009,4,0.117647412666151,0.164999460310895,0,0.582759073477165
"INDONESIA",2009,5,0.117647412666151,0.162934697794236,0,0.582759073477165
"INDONESIA",2009,6,0.117647412666151,0.16752193776148,1,0.582759073477165
"INDONESIA",2009,7,0.117647412666151,0.172426584373028,1,0.911942691549205
"INDONESIA",2009,8,0.117647412666151,0.160984208948615,1,0.582759073477165
"INDONESIA",2009,9,0.117647412666151,0.1606875483263,1,0.582759073477165
"INDONESIA",2010,1,0.117647412666151,0.152597102887968,0,0.742446458643347
"INDONESIA",2010,10,0.117647412666151,0.132598501827235,0,0.601380239627898
"INDONESIA",2010,11,0.117647412666151,0.130818546906562,0,0.739453183063504
"INDONESIA",2010,12,0.117647412666151,0.129115376166864,0,0.785821248137919
"INDONESIA",2010,2,0.117647412666151,0.15059530197568,0,0.675367139822714
"INDONESIA",2010,3,0.117647412666151,0.148805839477131,1,0.830010976760033
"INDONESIA",2010,4,0.117647412666151,0.146845154724769,0,0.739453183063504
"INDONESIA",2010,5,0.117647412666151,0.143319170426066,0,0.601380239627898
"INDONESIA",2010,6,0.117647412666151,0.141418767842016,0,0.628045103438568
"INDONESIA",2010,7,0.117647412666151,0.14951382566938,0,0.601380239627898
"INDONESIA",2010,8,0.117647412666151,0.142572831388518,0,0.567876090811125
"INDONESIA",2010,9,0.117647412666151,0.13747989539365,0,0.884826245024327
"JAPAN",2009,1,0.118525091266913,0.0300497135713719,0,9.9167271753581e-07
"JAPAN",2009,10,0.118525091266913,0.0373322733272964,0,1.40605265656338e-06
"JAPAN",2009,11,0.118525091266913,0.0344813407877247,0,1.44433643159958e-06
"JAPAN",2009,12,0.118525091266913,0.0367168874534185,0,1.8398531889416e-06
"JAPAN",2009,2,0.118525091266913,0.0282219841740531,0,9.70152594592251e-07
"JAPAN",2009,3,0.118525091266913,0.0286101069178393,0,1.65326932556089e-06
"JAPAN",2009,4,0.118525091266913,0.0305922858185876,0,2.17578104636262e-06
"JAPAN",2009,5,0.118525091266913,0.0290937244551174,0,1.44433643159958e-06
"JAPAN",2009,6,0.118525091266913,0.0367947076390704,0,1.1610607718539e-06
"JAPAN",2009,7,0.118525091266913,0.0363833214939585,0,1.13769753821304e-06
"JAPAN",2009,8,0.118525091266913,0.0350776120286639,0,9.70152594592251e-07
"JAPAN",2009,9,0.118525091266913,0.0350606219778854,0,1.13769753821304e-06
"JAPAN",2010,1,0.118525091266913,0.0309761104490908,0,2.36683632966739e-06
"JAPAN",2010,10,0.118525091266913,0.0281327720973069,0,2.36964799807287e-06
"JAPAN",2010,11,0.118525091266913,0.0277103290801786,0,3.71393009932358e-06
"JAPAN",2010,12,0.118525091266913,0.0273073842890439,0,1.15299980241564e-05
"JAPAN",2010,2,0.118525091266913,0.0296789453916286,0,2.12361207337376e-06
"JAPAN",2010,3,0.118525091266913,0.0293161051836788,0,3.57109877868828e-06
"JAPAN",2010,4,0.118525091266913,0.0330103263170629,0,3.55967412154397e-06
"JAPAN",2010,5,0.118525091266913,0.0309931964762923,0,1.51563364455156e-06
"JAPAN",2010,6,0.118525091266913,0.0348911570776576,0,1.80237969346792e-06
"JAPAN",2010,7,0.118525091266913,0.0352650269685003,0,2.36683635392809e-06
"JAPAN",2010,8,0.118525091266913,0.0375312660672841,0,3.44370492549878e-06
"JAPAN",2010,9,0.118525091266913,0.031260023554319,0,1.96963364832328e-06
"LAOS",2009,1,0.102713511168644,0.118976357897396,0,0.0189007493252279
"LAOS",2009,10,0.102713511168644,0.137245533156105,0,0.0189007493252279
"LAOS",2009,11,0.102713511168644,0.135928432113582,0,0.0189007493252279
"LAOS",2009,12,0.102713511168644,0.137707263596116,0,0.0189007493252279
"LAOS",2009,2,0.102713511168644,0.120617544570277,0,0.0189007493252279
"LAOS",2009,3,0.102713511168644,0.122116660636669,0,0.0189007493252279
"LAOS",2009,4,0.102713511168644,0.126724084708713,0,0.0189007493252279
"LAOS",2009,5,0.102713511168644,0.125438177370547,0,0.0189007493252279
"LAOS",2009,6,0.102713511168644,0.127155635121025,0,0.0189007493252279
"LAOS",2009,7,0.102713511168644,0.130344463192817,0,0.0189007493252279
"LAOS",2009,8,0.102713511168644,0.130593820933539,0,0.0189007493252279
"LAOS",2009,9,0.102713511168644,0.132371183835265,0,0.0189007493252279
"LAOS",2010,1,0.102713511168644,0.139565898025677,0,0.0189223536281006
"LAOS",2010,10,0.102713511168644,0.156853022936716,0,0.0189223536281006
"LAOS",2010,11,0.102713511168644,0.158922442035133,0,0.0189223536281006
"LAOS",2010,12,0.102713511168644,0.160946136032549,0,0.0189223536281006
"LAOS",2010,2,0.102713511168644,0.141445503478166,0,0.0189223536281006
"LAOS",2010,3,0.102713511168644,0.143161341025344,0,0.0189223536281006
"LAOS",2010,4,0.102713511168644,0.145081203580609,0,0.0189223536281006
"LAOS",2010,5,0.102713511168644,0.148643016291986,0,0.0189223536281006
"LAOS",2010,6,0.102713511168644,0.148921385844531,0,0.0189223536281006
"LAOS",2010,7,0.102713511168644,0.150840567479286,0,0.0445475421724215
"LAOS",2010,8,0.102713511168644,0.152845041949431,0,0.0189223536281006
"LAOS",2010,9,0.102713511168644,0.158402644717818,0,0.0189223536281006
"MADAGASCAR",2009,1,0.105380747354226,0.0987611324363333,0,0.0312022602223543
"MADAGASCAR",2009,10,0.105380747354226,0.081378038858832,0,0.0312022602223543
"MADAGASCAR",2009,11,0.105380747354226,0.0802220593261364,0,0.0312022602223543
"MADAGASCAR",2009,12,0.105380747354226,0.0791176598433912,0,0.0312022602223543
"MADAGASCAR",2009,2,0.105380747354226,0.100155165914394,0,0.0312022602223543
"MADAGASCAR",2009,3,0.105380747354226,0.0767723411688596,0,0.0312022602223543
"MADAGASCAR",2009,4,0.105380747354226,0.0778828203286695,0,0.0312022602223543
"MADAGASCAR",2009,5,0.105380747354226,0.0789714609347412,0,0.0312022602223543
"MADAGASCAR",2009,6,0.105380747354226,0.0801109892412043,0,0.0312022602223543
"MADAGASCAR",2009,7,0.105380747354226,0.0812280314994588,0,0.0316460093866296
"MADAGASCAR",2009,8,0.105380747354226,0.0823972082468025,0,0.0370133413050084
"MADAGASCAR",2009,9,0.105380747354226,0.0825111637506653,0,0.0539579428164884
"MADAGASCAR",2010,1,0.105380747354226,0.0779910630794432,0,0.0312657410469402
"MADAGASCAR",2010,10,0.105380747354226,0.0817918617609816,0,0.0312657410469402
"MADAGASCAR",2010,11,0.105380747354226,0.0829684212741938,0,0.0312657410469402
"MADAGASCAR",2010,12,0.105380747354226,0.0823213175131655,0,0.0312657410469402
"MADAGASCAR",2010,2,0.105380747354226,0.0768791692322874,0,0.0312657410469402
"MADAGASCAR",2010,3,0.105380747354226,0.0758873874617996,0,0.0342647054953085
"MADAGASCAR",2010,4,0.105380747354226,0.0751512723653525,0,0.0312657410469402
"MADAGASCAR",2010,5,0.105380747354226,0.0762048869416174,0,0.0312657410469402
"MADAGASCAR",2010,6,0.105380747354226,0.0773078454258635,0,0.0312657410469402
"MADAGASCAR",2010,7,0.105380747354226,0.078389132294475,0,0.0312657410469402
"MADAGASCAR",2010,8,0.105380747354226,0.0795209833094867,0,0.0312657410469402
"MADAGASCAR",2010,9,0.105380747354226,0.0806677465240685,0,0.0312657410469402
"MALAYSIA",2009,1,0.107284517553729,0.0719079958865646,0,0.000516741920429399
"MALAYSIA",2009,10,0.107284517553729,0.067359302637185,0,0.000516741920429399
"MALAYSIA",2009,11,0.107284517553729,0.07333109743778,0,0.000971651585962761
"MALAYSIA",2009,12,0.107284517553729,0.0614888774443182,0,0.00067244640150613
"MALAYSIA",2009,2,0.107284517553729,0.0691357883787072,0,0.000669270042322027
"MALAYSIA",2009,3,0.107284517553729,0.0708306183490706,0,0.000516741920429399
"MALAYSIA",2009,4,0.107284517553729,0.0680968984930816,0,0.000516741920429399
"MALAYSIA",2009,5,0.107284517553729,0.0663148090106086,0,0.000516741920429399
